title,title_original,title_english,title_japanese,merged_titles,n_entries_merged,synopsis,genres,themes,score,episodes,aired,studios,composer,composer_source_url,features,mood,mood_method,imdb_review_url,artwork,mal_id,mal_url,artwork_url,mal_title_matched,mal_match_score
Mobile Suit Gundam 00,Kidou Senshi Gundam 00,Mobile Suit Gundam 00,機動戦士ガンダム00,Kidou Senshi Gundam 00,1,"In the distant future, mankind's dependence on fossil fuels will lead to their complete depletion, an energy crisis unlike anything the world witnessed. Out of retaliation and fear, humanity began focusing at an alternative source of energy: solar power. Different nations have united together to form three major factions—the Union of Solar Energy and Free Nations, the Advanced European Union, and the Human Reform League. Each of these sectors has access to a solar power generator, which gives them limitless energy.   As a result, countries that were once dependent on the sale of fossil fuels are now plunged in poverty, leading to years of warfare and internal strife over the control of solar energy. Amid this chaos, an unknown paramilitary organization appeared identifying themselves as ""Celestial Being,"" aspire to end all warfare through armed intervention by using mysterious and technologically advanced Mobile Suits known as Gundams.  Mobile Suit Gundam 00 follows the story of Celestial Being's Gundam Meisters Setsuna F. Seiei, Lockon Stratos, Allelujah Haptism, and Tieria Erde. These four dive into the devastating battle between the three superpowers to accomplish their goal of changing the world.  [Written by MAL Rewrite]",Drama | Sci-Fi,Mecha | Military | Space,8.1,25,2007,Sunrise,Kenji Kawai,,,"emotionally resonant, science fiction, mecha-driven, military drama — In the distant future, mankind's dependence on fossil fuels will lead to their complete depletion, an energy crisis unlike anything the world witnessed.",genre/theme synthesis,,,2581,https://myanimelist.net/anime/2581,https://myanimelist.net/images/anime/3/13200l.jpg,Kidou Senshi Gundam 00,1.0
"Love, Chunibyo & Other Delusions!: Take On Me",Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"Love, Chunibyo & Other Delusions!: Take On Me",映画 中二病でも恋がしたい！-Take On Me-,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,1,"Although already a third-year high school student, Rikka Takanashi remains a chuunibyou—a ""disease"" that causes people to fantasize about themselves and their surroundings. Her relationship with Yuuta Togashi has also gone unchanged for the past six months, and with entrance exams right around the corner, both of them strive to enroll at the same college. However, Tooka—Rikka's elder sister—decides to take Rikka to Italy as she has found a stable job there. This unforeseen turn of events causes a commotion between the couple as neither of them want to be separated from each other. Desperate for ideas, they seek assistance from their friends, and after a brief conversation, they come up with a plan—to elope.  Chuunibyou demo Koi ga Shitai! Movie: Take On Me is a sensational drama featuring the couple—Yuuta and Rikka—as they journey across Japan. The two attempt to prevent Rikka from being taken to Italy, but will they be able to succeed in doing so?  [Written by MAL Rewrite]",Comedy | Drama | Romance,School,8.1,1,2018,Kyoto Animation,Akito Matsuda,,,Amazing — viewers describe it as an Amazing Finale to the Series and an Infinitely Re-Watchable Film!,AniList review synthesis,,,35608,https://myanimelist.net/anime/35608,https://myanimelist.net/images/anime/2/89974l.jpg,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,1.0
City The Animation,City The Animation,,CITY THE ANIMATION,City The Animation,1,"Aimless daydreaming in high school is an ordinary part of growing up. But once graduation comes, suddenly there are bills to pay and a higher education to tackle. Even so, Midori Nagumo never quite stopped dreaming—even after entering college—as she still wants to have fun while ignoring her responsibilities. Contrasting Midori's recklessness is her supposed best friend Niikura, who is the complete opposite of Midori and has a goal of becoming a photographer after college.  However, Niikura is often pulled into Midori's schemes, which leads them to meet Wako Izumi, a tenacious, yet airheaded classmate who is always taking pictures of things she finds fun. The trio ends up living together in the same apartment and attempt to navigate their lives in the city of City, where unexpected and out-of-the-ordinary things occur daily.  [Written by MAL Rewrite]",Comedy | Seinen,Gag Humor,8.09,13,2025,Kyoto Animation,Piranhans,,,"Fun — viewers describe it as even when I wasn’t laughing, I was loving the fact that it exists. And that’s what it’s all about",AniList review synthesis,,,59898,https://myanimelist.net/anime/59898,https://myanimelist.net/images/anime/1829/145678l.jpg,City The Animation,1.0
Slay The Gods,Zhan Shen: Fanchen Shenyu,Slay The Gods,斩神之凡尘神域,Zhan Shen: Fanchen Shenyu,1,"It follows the journey of Lin Qiye, a blind high school student who unexpectedly becomes a night watchman, tasked with protecting the nation from ""mystical"" invasions as the mist descends and gods reawaken. Leading his team, he tirelessly eliminates mythical creatures that emerge in modern society and eventually sets out on the path of god-slaying, evolving from guarding his small family to defending the nation.  (Source: WeTV)",Action | Fantasy | Suspense,Psychological,8.09,15,2024,Shenman Entertainment,,,,"Notable for: full cgi, male protagonist, primarily male cast, super power, post-apocalyptic",AniList review synthesis,,,59306,https://myanimelist.net/anime/59306,https://myanimelist.net/images/anime/1514/144274l.jpg,Zhan Shen: Fanchen Shenyu,1.0
Genshin Impact: The Song Burning in the Embers,Yuanshen: Jinzhong Ge,Genshin Impact: The Song Burning in the Embers,《原神》「烬中歌」,Yuanshen: Jinzhong Ge,1,Animated short film about the backstory of Arlecchino from Genshin Impact.,Action | Drama | Fantasy,,8.09,1,2024,,,,,"Notable for: female protagonist, primarily child cast, tragedy, curses, orphan",AniList review synthesis,,,58689,https://myanimelist.net/anime/58689,https://myanimelist.net/images/anime/1229/142648l.jpg,Yuanshen: Jinzhong Ge,1.0
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,,銀魂 〜美味いモノは後回しにすると横取りされるからやっぱり先に食え〜,Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,1,"After overcoming monumental obstacles in their previous adventures, Gintoki Sakata, Shinpachi Shimura, and Kagura gather at the Yorozuya office to discuss important matters. The trio, accompanied by their hilarious and eccentric friends, reveals a long-awaited notice: the biggest Gintama arc is coming to the big screens!  [Written by MAL Rewrite]",Action | Comedy | Shounen,Gag Humor | Historical | Parody | Samurai,8.09,1,2015,Bandai Namco Pictures,,,,"Notable for: parody, nudity, swordplay, shounen, historical",AniList review synthesis,,,32122,https://myanimelist.net/anime/32122,https://myanimelist.net/images/anime/1720/110926l.jpg,Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,1.0
Durarara!!,Durarara!!,Durarara!!,デュラララ!!,Durarara!!,1,"In Tokyo's downtown district of Ikebukuro, amidst many strange rumors and warnings of anonymous gangs and dangerous occupants, one urban legend stands out above the rest—the existence of a headless ""Black Rider"" who is said to be seen driving a jet-black motorcycle through the city streets.  Mikado Ryuugamine has always longed for the excitement of the city life, and an invitation from a childhood friend convinces him to move to Tokyo. Witnessing the Black Rider on his first day in the city, his wishes already seem to have been granted. But as supernatural events begin to occur, ordinary citizens like himself, along with Ikebukuro's most colorful inhabitants, are mixed up in the commotion breaking out in their city.  [Written by MAL Rewrite]",Action | Mystery | Supernatural,,8.09,24,2010,Brain's Base,Makoto Yoshimori,,,"Amazing, amazed — viewers describe it as in summary, _Durarara!!_ is one of my favorite shows that I've ever watched, everything about it is enthralling",AniList review synthesis,,,6746,https://myanimelist.net/anime/6746,https://myanimelist.net/images/anime/10/71772l.jpg,Durarara!!,1.0
Kuroko’s Basketball: It is the Best Present,Kuroko no Basket: Saikou no Present desu,Kuroko’s Basketball: It is the Best Present,黒子のバスケ〜最高のプレゼントです〜,Kuroko no Basket: Saikou no Present desu,1,"It is Tetsuya Kuroko's birthday. In celebration, Satsuki Momoi has invited the other members of the Generation of Miracles to play basketball together and rekindle the memories from their nostalgic middle school days. Meanwhile, Taiga Kagami and his fellow teammates of Seirin High are doing their best to prepare for Kuroko's birthday party.  Sometimes, the best gift one can receive is not a material one but, rather, the feeling of having fun with everyone!  [Written by MAL Rewrite]",Sports | Shounen,School | Team Sports,8.09,1,2015,Production I.G,,,,"Notable for: school, shounen, basketball, male protagonist, primarily male cast",AniList review synthesis,,,31051,https://myanimelist.net/anime/31051,https://myanimelist.net/images/anime/13/77323l.jpg,Kuroko no Basket: Saikou no Present desu,1.0
Mobile Suit Gundam Unicorn,Kidou Senshi Gundam Unicorn,Mobile Suit Gundam Unicorn,機動戦士ガンダムUC（ユニコーン）,Kidou Senshi Gundam Unicorn,1,"In the year Universal Century 0096, three years after Char Aznable's failed attempt to force human migration into space, life continues in the colonies orbiting Earth. One such colony, at Side 4, is home to Banagher Links, a 16-year-old who lives a quiet life among his classmates.  Audrey Burne, the last descendant of a great tyrannical family, takes it upon herself to steal the key to a mysterious device known as ""Laplace's Box."" It is said that the Box has the power to shape the course of the universe, and Audrey travels to Side 4 in an attempt to take it from its current holder and keep it from the Sleeves, the surviving remnant of Char Aznable's  Neo-Zeon. In her search, she stumbles across Banagher and changes his life forever.  When Side 4 comes under the attack of the Sleeves and its prolific fighters Marida Cruz and Full Frontal, Banagher takes control of the newly built Gundam Unicorn to defend his friends and protect the fate of humankind.  [Written by MAL Rewrite]",Drama | Sci-Fi,Mecha | Military | Space,8.09,7,2010,Sunrise,Hiroyuki Sawano,,,"Amazing, beautiful, thrilling — viewers describe it as gundam Unicorn is a fulfillment of a promise made 42 years ago",AniList review synthesis,,,6336,https://myanimelist.net/anime/6336,https://myanimelist.net/images/anime/12/50459l.jpg,Kidou Senshi Gundam Unicorn,1.0
Detroit Metal City,Detroit Metal City,Detroit Metal City,デトロイト・メタル・シティ,Detroit Metal City,1,"Dominating the world of indie music, Detroit Metal City (DMC) is a popular death metal band known for its captivatingly dark and crude style. Its extravagant lead singer, Johannes Krauser II, is especially infamous as a demonic being who has risen from the fiery pits of hell itself in order to bring the world to its knees and lord over all mortals—or at least that's what he's publicized to be.  Unbeknownst to his many worshippers, Krauser II is just the alter ego of an average college graduate named Souichi Negishi. Although he is soft-spoken, peace-loving, and would rather listen to Swedish pop all day, he must participate in DMC's garish concerts in order to make ends meet. Detroit Metal City chronicles Negishi's hilarious misadventures as he attempts to juggle his hectic band life, a seemingly budding romance, and dealing with his incredibly obsessive and dedicated fans.  [Written by MAL Rewrite]",Comedy | Seinen,Adult Cast | Gag Humor | Music | Parody | Showbiz,8.09,12,2008,Studio 4°C,Harukichi Yamamoto,,,"Notable for: band, surreal comedy, parody, metal music, college",AniList review synthesis,,,3702,https://myanimelist.net/anime/3702,https://myanimelist.net/images/anime/3/9853l.jpg,Detroit Metal City,1.0
